Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",200.248000,-83.058100,180.000000,bottom
"C2","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",200.248000,-75.438100,0.000000,bottom
"C3","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",193.675000,-87.407800,0.000000,bottom
"C4","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.181000,-83.439000,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.181000,-73.914000,270.000000,bottom
"C6","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",192.088000,-67.468800,180.000000,bottom
"C7","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",187.325000,-67.468800,0.000000,bottom
"C8","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.594000,-58.229400,0.000000,bottom
"D1","D","D_SOD-123",114.458000,-65.087400,90.000000,bottom
"D2","D","D_SOD-123",114.458000,-84.137400,90.000000,bottom
"D3","D","D_SOD-123",114.458000,-103.442000,90.000000,bottom
"D4","D","D_SOD-123",114.458000,-122.237000,90.000000,bottom
"D5","D","D_SOD-123",123.984000,-141.287000,90.000000,bottom
"D6","D","D_SOD-123",133.508000,-65.087400,90.000000,bottom
"D7","D","D_SOD-123",133.508000,-84.137400,90.000000,bottom
"D8","D","D_SOD-123",133.508000,-103.442000,90.000000,bottom
"D9","D","D_SOD-123",133.508000,-122.237000,90.000000,bottom
"D10","D","D_SOD-123",152.558000,-141.287000,90.000000,bottom
"D11","D","D_SOD-123",152.558000,-65.087400,90.000000,bottom
"D12","D","D_SOD-123",152.558000,-84.137400,90.000000,bottom
"D13","D","D_SOD-123",152.558000,-103.187000,90.000000,bottom
"D14","D","D_SOD-123",152.558000,-122.237000,90.000000,bottom
"D15","D","D_SOD-123",178.594000,-134.144000,90.000000,bottom
"D16","D","D_SOD-123",171.608000,-65.087400,90.000000,bottom
"D17","D","D_SOD-123",171.608000,-93.662400,90.000000,bottom
"D18","D","D_SOD-123",171.608000,-131.762000,90.000000,bottom
"D19","D","D_SOD-123",178.594000,-99.377400,90.000000,bottom
"D20","D","D_SOD-123",178.594000,-116.681000,90.000000,bottom
"F1","500 mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",182.562000,-65.087500,180.000000,bottom
"J1","USB_B_Mini","Molex-0548190589",178.594000,-57.213400,270.000000,bottom
"R1","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",182.562000,-70.643800,180.000000,bottom
"R2","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",182.562000,-67.468800,180.000000,bottom
"R3","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",199.231000,-71.192400,135.000000,bottom
"R4","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.340000,-87.312400,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",188.912000,-78.676500,270.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",200.248000,-79.279800,180.000000,bottom
