"Comment","Designator","Footprint","LCSC Part #"
"22pF","C1,C2","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C14663"
"0.1uF","C3,C4,C5,C7","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C14663"
"1uF","C6","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C15849"
"10uF","C8","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C19702"
"D","D1,D16,D11,D6,D17,D12,D7,D2,D18,D13,D8,D3,D19,D14,D9,D4,D20,D15,D10,D5","D_SOD-123","C81598"
"500 mA","F1","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C151162"
"22","R1,R2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C23345"
"10k","R4,R3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C25804"
"SW_Push","SW1","SW_PUSH_4_5.1x5.1mm","C318884"
"ATmega32U4-AU","U1","TQFP-44_10x10mm_P0.8mm","C44854"
"16MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C13738"
